Tweet,Tema,Stance
USER USER prensa tendenciosa de un periodista malintencionado. que habrá pasado con la educación en ese país ? #abortoesdelito #conabortonotevoto #conmishijosnotemetas #nofueley #noalaideologiadegenero #olacelestelatinoamerica USER USER USER USER,aborto,N
sonríe siempre 😄 hay mil motivos para ser feliz y decirle. 😊 URL,aborto,N
hoy las mujeres argentinas somos más libres.,aborto,F
"el niño por nacer es un ser humano a partir de la concepción, y que su vida debe ser respetada",aborto,C
"mainumby, la conozco, y a su madre. por varios meses, feministas pro #abortolegal juntamos plata para acercarles. les faltaba todo. la carita desconcertada y el dolor en los ojos de mainumby no los olvido. vi reflejada en ellos la crueldad anti-derechos. URL",aborto,F
están adoctrinando nenes q no saben ni cómo se concibe un feto. por favor hablen con los chicos y escuchen lo que dicen. mi primo de 11 años le dijo a la madre asesina por estar a favor de la legalización!!!! vergüenza y repudio total,aborto,F
"noticia uruguaya; no queremos que todas aborten, queremos que tengan la decisión de hacerlo o no sin el riesgo de morir. 💚 URL",aborto,F
"#noabortolibre cada uno tiene derecho a elegir! pero que culpa tiene un pequeño ser en formación? hay un grupo de personas que anhelamos ser madres, mientras otras quieren librarse de ello!",aborto,C
"no tiñeron la argentina de celeste: se apropiaron del color de la bandera pero aÚn asÍ las calles son verdes 💚 no será hoy, pero #seráley y si algo más sacamos en limpio es que #iglesiayestadoasuntosseparados ✊🔥 fuerza💚",aborto,F
ser custodias de la vida es un privilegio que sólo las mujeres tienen. Ámalo y respétalo. URL,aborto,C
justicia social es,aborto,N
"""estamos viviendo una marea verde. necesitamos tener un símbolo, algo que nos aglutinara. el pañuelo logró lo que todos queríamos"". nelly, una activista argentina 🇦🇷 por el #abortolegal 💚 pídele al USER que apruebe el #abortolegalya👉 URL URL",aborto,F
pañuelazo jujuy #abortolegalya #jujuy USER URL,aborto,F
duele ver mujeres levantando sus puños para que se apruebe la muerte de seres humanos indefensos en sus vientres. increíble tener que proteger a un hijo/a del ataque mortal de su propia madre.,aborto,C
"#abortolegalya vamos a aclarar los tantos con algunos conceptos de biología básica on-line. hay algo que se llama “niveles de organización de la vida” (o materia, pero acá lo voy a resumir) y explica justamente cómo el termino vida se organiza:",aborto,F
gran final 💚 URL,aborto,N
"argentina es (sigue siendo) pro-clandestinidad 💙 felicitaciones ""2 vidas"" ahora los únicos que van a ser llamados asesinxs son uds, responsables de cada cuerpo gestante muertx en la clandestinidad. festejen la muerte por ahora porque ya despertamos y ✊💚",aborto,F
.USER con el pañuelo de la USER en #100diasparaenamorarse 💚✊ USER 💚 URL,aborto,F
por fin alguien puso huevo y se animó a decir lo que piensa en los,aborto,N
"#sialavida cada gesto cuenta... madre, tu don es dar vida. que no nos quiten ese derecho! respetemos la vida desde la concepción! URL",aborto,C
ser custodio de la vida es un privilegio que sólo las mujeres tienen. Ámalo y respétalo. URL,aborto,C
"""defiendan la vida, carajo. acá no se respeta ninguna ley"". completamente sacado, uno de los manifestantes a favor del aborto clandestino lanzó amenazas en magra protesta frente a la quinta de olivos. impotencia porque saben que el aborto legal #seráley. URL URL",aborto,F
"USER ¡muchas gracias, gladys! 👏🏼💚",aborto,N
es imparable!!!! esa alegria que se vivió es incomparable. más cerca de que el #abortolegal sea una realidad para todas las mujeres 💚💚💚💚 #abortoseraley 💪💪😀😀😀 URL,aborto,F
no te pierdas la edición de este martes de USER con la entrevista que USER y USER le hicieron a USER hablando de #política y #actualidad y luego la nota al dr marcelo dominguez sobre el proyecto de URL,aborto,N
