Stance,Tweet
0,#19f pañuelazo en formosa a partir de las 18 horas estaremos en la plaza san martín. ¡sumate! ¡el proyecto está en las calles! URL …
0,"encuestas de rcn, el chiste se cuenta solo así les pese es cuestión de derechos y leyes y no de popularidad y encuestas ,"
0,"USER es el orgullx de esa juventud, de esas mujeres, de ese movimiento que lucha transversalmente contra el patriarcado y la imposición de una sociedad machista. te admiro, te banco y te sigo, porque juntxs somxs mas fuerte y URL …"
0,hoy también es el día del amor propio . . . #felizdiadesanvalentin a o URL
0,"""será ley"", el texto de USER en favor de la lucha de las mujeres argentinas por sus derechos. 'la ola verde', el documental que retrata su valiente testimonio llega el próximo 6 de marzo a los cines URL"
0,"⁦⁩ ""...el aborto es una deuda para la democracia..."" USER⁩ USER URL …"
0,"«los recuerdos más lejanos parecen siempre los más hermosos». #undíacomohoy de 1908 nació simone de beauvoir, #escritora y filósofa francesa. eterna luchadora por los derechos de la mujer. URL"
0,"creo que el tema del derecho al aborto debe ser debatido y tratado únicamente por mujeres. el hombre, en esta solo debe ser espectador."
0,mucho bla bla por los no nacidos. y los que ya están pa cuando? pensemos en los que están vivos y sufriendo
0,seguimos en las calles hasta #quesealey #abortolegal2020 USER URL
0,aborto legal ya #kca #votalalitas // URL
0,"#edpaís lo dijo en una conferencia durante su gira por europa, días después de visitar al papa francisco en el vaticano. URL …"
0,"¿y qué tiene que ver con #abortolegal dr. troll? ¿o son tus argumentos? porque embriología la pasaste de panzaso, y lógica ni la conociste."
0,y nos compramos de todo para el 8m !!! genial martinalaborde y su lamagashowroom URL …
0,inteligencia sin moralismos URL …
0,"el 11 de diciembre 2019, luana ketlen, de 13 años falleció en zona rural del estado de amazonas, brasil, después de inducirle un parto prematuro. su embarazo fue por violación de su propio padre. la forzaron a parir. la forzaron a morir."
0,no tengo idea quien eres. si tu madre salio adelante de una situación complicada es porque se autosupero. sin embargo eso no cambia el hecho de que las mujeres deberian tener la libertad de escoger sobre sus cuerpos. si tu estas en contra del aborto no abortaras.
0,"el acceso al #abortolegal, reduce muertes y complicaciones por #abortosinseguros y clandestinos. la despenalización del aborto es una cuestión de derechos y salud pública. * información #aborto en #ciudaddemexico, contáctanos y resolvemos tus dudas >> URL URL"
0,"pasó una hora más, recuerden que #sonresponsables de 41 nuevos abortos clandestinos: USER USER USER USER USER USER USER"
0,"luchaste por #niunamenos, por el #abortolegal, en contra de la #violenciadegenero.. pero miras para otro lado cuando te hablamos de la URL …"
0,"en el día internacional de acción global por el #abortolegal, seguro y gratuito; bajo el lema “el proyecto está en las calles” miles de #mujeres alzaron sus pañuelos y exigieron que el parlamento trate y apruebe la #leydeinterrupciónvoluntaria del embarazoURL"
0,ayer lo dí todo en la pista. sali a festejar mi cumpleañito de #28 y fui feliz. salu por eso!! por les amigues de verdad que nunca fallan y por mover el cuerpo para exorzisar las presiones de los demás. #quevenganmuchosmas y
0,alguien que sepa algo de la marcha del 8m?????
0,"#michellewilliams y un flor de discurso! #goldenglobes #goldenglobestnt ""mujeres voten por su propio interés, que es lo que los hombres han hecho por siglos. por eso el mundo se parece tanto a ellos. hagamos que se parezca más a nosotras"""
0,"la sociedad se representa en los órganos los cuales se les delego el poder. no hay que detenerse poniendo foco en la acción de ese menor que vaya a saber cuántos complejos tiene, sino en la acción de los que debieron actuar para solucionarlo. en parte son cómplices URL …"
0,escuché los juramentos !!! estoy aplaudiendo de pie !!! vamos por más chiques ! y sr ministro
0,"""las mujeres acuden al aborto con la misma frecuencia sin importar si es legal o ilegal -casi siempre por embarazos no deseados- restringir la oferta de métodos de planificación y abortos seguros solo agrava el peligro"" URL …"
0,¿cómo elegir una clínica segura para la ile? hay muchas clínicas diferentes y existen muchas que no ofrecen el nivel de servicio o profesionalismo que se requiere. conoce nuestra seccion de noticias: URL URL
