id,Tweet
815373939438403585,Celebrating the life. Not mourning the death. #myfirstcrush #lifechangingmusic #chooselife https://t.co/jwrw1O70nI
815609056383467520,mt @testisfidelis: women are not ragdolls. they can practice selfmastery. #chooselife https://t.co/to0dyg30nx #unbornlivesmatter #pjnet
815650201792839680,check out some #prolife news in #2017 from #theroamincatholic @beatidude #prolifegen #standforlife #savethebabyhumans #happynewyear https://t.co/oatg5kk3zp
815740678193942528,what being a mother has taught me about abortion: https://t.co/jfrgqcaivp #prolife #chooselife
817165470902185985,"gop to #defundplannedparenthood in #obamacare repeal 

https://t.co/quubivhrn5 

#stand4life #chooselife #praytoendabortion #pjnet #1a https://t.co/jq5vtbwddh"
817221738706542592,yes please. #prolife #marchforlife #prolifegen #prolifeprowoman https://t.co/p0bmqgwzil
817377761044103168,.@speakerryan is living that thug life. we will #defundpp! #prolifegen #standwithpp https://t.co/tujvkiwy2c
817812664818679808,"abortion ends one life, and forever adversely alters another. 

#chooselife #prolife #pjnet #defundpp 

https://t.co/ygchzwcmnh"
819540634319122432,"#mylifematters i'm a special gift from god, love me mommy.
 #chooselife
#alllivesmatter

#pjnet
#renewus https://t.co/dkspc7xdok"
822913352892645376,"pam tebow #chooselife. her story continues to inspire many, ""mrs. tebow, i did not abort my baby because you did not abort yours."" 
#wflwc https://t.co/c5xprtkd1z"
822932133639491584,"of all the faces, voices&amp;images shown in the streets of dc today the one missing in the name of ""choice"" is this one. #chooselife https://t.co/erxixepq19"
824315319699116032,"mt @marylene58: so beautiful and angelic. please
#chooselife. #prolife https://t.co/frwerxflvk #unbornlivesmatter #pjnet"
824638594379902977,".@embracegraceinc:"" we are here all life, not just pro-birth."" #whywemarch #prolifegen"
824952555067285505,win this war_revoke license to kill! #prolife #chooselife #faith #hope #pray #jesus #unite #us #church #congress #truth #maga #amen #family https://t.co/gum9ecwnbs
824972407341461504,mass has started!! youth rally and mass for life is getting started! #marchforlife #whywemarch #prolife #prolifegen #istand4life #mass4life https://t.co/qtemlv58xk
824994838030458889,"hi @windywilson88 we love your #t2trainspotting chat, its a #chooselife #chooselunch day in @dollarsdeli #mikeyforrester https://t.co/wjmqk6xmvm"
825024156693516289,our voice is getting stronger! #prolifeyouth #marchforlife
825031188020539392,life is winning because of all of you! @mike_pence #prolifeyouth #marchforlife
825476834213105664,just seen #trainspotting2 it was just superb on so many levels &amp; a beautiful follow up to one of my all time favourite films... #chooselife https://t.co/e83l9leyre
825487222543626243,texans stand for the protection of life!  let ours will be the generation to end abortion forever #txrallyforlife @texasgop #chooselife https://t.co/f5zb8wfosl
825736355263180800,miracle baby. #prolife #chooselife https://t.co/qvyhuvg8yq
826287404243787776,"mt @awakedeborah: fearfully and wonderfully made! by god.
#prolife #prolifegen https://t.co/ef3h9xed4s #unbornlivesmatter #pjnet"
826890954359595008,"if @t2trainspotting changed your life, this review of it written by @matthew5thomas will change it even further. #trainspotting2 #chooselife https://t.co/gzui7sz6du"
827504688723611648,"where is the democrats permanent outrage over innocent children being ripped apart by abortion? 
#chooselife #praytoendabortion https://t.co/qjqqauodyb"
829086397151715335,#prolife senators introduce bill to #defundplannedparenthood #abortion biz https://t.co/ywsijkxuqf @lifenewshq #endabortion #chooselife https://t.co/e8qmogq4hw
833649980434968576,"... getting by, looking ahead, to the day you die... 
#chooselife #trainspotting https://t.co/ogpe9bnx1z"
834116879069360129,"https://t.co/valkjzdngg
roe v. wade attorney sarah weddington’s shocking answer when asked, “whatever happened to roe?”
#chooselife"
834233364370554884,"also, shouldn't the #prolifegen want to increase the amount of birth control and thus decreasing unwanted pregnancies and abortions? (3/3) https://t.co/pzecawfu4b"
834501783569457158,wonderful convo over lunch w/  @savethestorks staff! they're doing really creative work for the sake of mothers &amp; babies. #prolifegen
834785344935567360,"choose life.

#gopro #goprohero5 #trainspotting #t2trainspotting #chooselife https://t.co/wf1otw0nxe https://t.co/ylwakpox9r"
835282558199832576,@thehill @denisebronsdon @jennabushhager wow..i'm surprised. i thought better of her. #lifematters #chooselife
836021510749966336,showed up to wings maternity home to find the whole crew sporting our t-shirts! #lovethemboth #chooselife #prolife #strongenough #love https://t.co/hbhhpz1kyq
836563134898917376,"current view.

no filter, no caption required.

onward!
gx

#trainspotting #t2trainspotting #chooselife #bluesky #edinburgh #scotland 💙 https://t.co/py7g1i8sqp"
836695704244453377,over a dozen young #prolifers stayed for a chat and a pint after an incredibly biased session to talk about what the #prolifegen can do!!
836981080444047361,we are outside the omni hotel in ft. worth today protesting barbara bush at @ppact's overpriced lunch https://t.co/autnp38tfv #prolifegen
837007732213342208,mt @patrioticgirl86: the greatest destroyer of love and peace is abortion. #chooselife https://t.co/bvjwiqa9lk #unbornlivesmatter #pjnet
837027717954428928,"mt @amenditusa: new mood,new plan. let america decide! #prolife #chooselife #hope #pray  https://t.co/2czyoczjiu #unbornlivesmatter #pjnet"
837091756005081088,mt @karee_news: you can do something try to touch hardened hearts and #chooselife https://t.co/kkmep5mhfw #unbornlivesmatter #pjnet
837092396353667072,"mt @amenditusa: new mood,new plan. let america decide! #prolife #chooselife #hope #pray  https://t.co/ja4bztcn3n #unbornlivesmatter #pjnet"
837093085322452992,"mt @awakedeborah: fearfully and wonderfully made! by god.
#prolife #prolifegen https://t.co/ad6i95h3op #unbornlivesmatter #pjnet"
837288374092382213,barbara bush spoke at a planned parenthood benefit and we went too https://t.co/5vsofnk4kv #plannedparenthood #barbarabush #prolifegen
838834515380482048,this went viral. #chooselife https://t.co/gvxgln5z35
842415089361817600,no to trump and no to this hangover #chooselife
844315936651923457,happy birthday @gregesplin! no doubt melbourne will show you a  f'ing great time. #trainspottinglive #chooselife https://t.co/xlcj9oholu
845360229869125632,thank you @personhoodedny for having us at the bringing america back to life ny convention #fridayfeeling #prolifegen https://t.co/kxyrlqvwdg
845608603532886016,"when the most exciting moments in your life is going to the supermarket to buy hummus, you definitely need some changes... #chooselife"
846765223893766144,thank you @students4lifehq for your help with our table this morning! we had so much fun at your 10 year anniversary last week! #prolifegen https://t.co/4dxqbditjl
847002980855500801,don't miss this free breakfast event. find freedom through #leadership #chooselife@timlondonset https://t.co/8fvup6egyu @heatherwaters15
847601187218046980,"thank you, @vp!  #defundpp  #unbornlivesmatter   #chooselife https://t.co/lr1f7m8kkn"
848052499156172801,the test of courage in a man: #chooselife! rt https://t.co/nzpsmss0xu @catholicsfollow #praytoendabortion https://t.co/y6lgiqlsqh
849033945500983296,#catholic order organizes #prolife rally against #abortion https://t.co/aryq699ebj #endabortion #savethebabyhumans #prolifegen
849270881129910272,"mt @marylene58: so beautiful and angelic. please
#chooselife. #prolife https://t.co/d1cnaoi0am #unbornlivesmatter #pjnet"
855512164756594688,"a piece of sage advice given to me tonight, ""you're only a failure if you give up on the things you love"" my dh has his moments #chooselife"
857293884610793473,"high school pro-life student: ""planned parenthood, you're done."" #prolifegen

this is the generation that will defund pp!

#sockit2pp"
857360682429202433,mt @politicsiswar: for convenience... #chooselife #praytoendabortion #stand4life #prolife https://t.co/hptl4ture1 #unbornlivesmatter #pjnet
857471880151707648,mt @patrioticgirl86: keep me safe lord from the hands of the wicked. #defundpp #chooselife https://t.co/jl6xuo4nbc #unbornlivesmatter #pjnet
857703729168084993,university oks vending machine selling plan b morning after pill https://t.co/mcbfnirw93 #thursdaythoughts #prolifegen https://t.co/dcv1dtpv3u
858347908088901633,woman laughs before her ninth abortion – then she sees her aborted baby #chooselife @justanavywife  https://t.co/rxrj0fi1kb
858673878263934976,mt @humancoalition: i chose not to view your life as optional. #chooselife #standforlife https://t.co/lraandkjdx #unbornlivesmatter #pjnet
859060486129635329,mexican #prolifers demand expulsion of ‘#abortion ship’ https://t.co/jdmoexfzsr #endabortion #prolife #chooselife #protectthepreborn
859062777494872064,pro-choice: tunnel vision https://t.co/0577mbboiz via @katielkieffer #prolifegen
859447237193203713,"a step in the right direction! 

#chooselife
#prolife
#unbornlivesmatter
#defundpp https://t.co/mqqak3mz9j"
859936047270068228,with margaret colin at #sbalistgala #gossipgirl #shadesofblue #veep #prolifegen https://t.co/unn53amamw
860140506277347333,we have passed 20wk abortion ban! #tnleg #chooselife https://t.co/ceelmoxodk
861956762806755332,"eventually, you have to choose a side: https://t.co/wrvvp43gqu #chooselife"
