id,Tweet
815385155464359936,#foxnews2017  Sick and tired of the #LiberalHypocrisy when those who protest loudest against #RapeCulture also scream loudest to accept it! https://t.co/63jTzXEcGv
817444924878684160,also holy ish this is horrible. #rapeculture https://t.co/vnsqjbin47
819603188445749250,"as a dr &amp; gov, i will stand up to @realdonaldtrump &amp; gop from throwing thousands of virginians off their healthcare &amp; restrict #reprorights https://t.co/vvgbgxtar6"
820058930394976256,republicans are attempting to pass a total abortion ban. we must take a stand against attacks on #reprorights now. https://t.co/cptahgkzlg
821406716369637376,what do #reprorights look like in your state? check out the new @naral report and find out! https://t.co/7m7kyb7lny https://t.co/rgyl0yzbuc
821425576032538624,very telling that you assume #saytheirnames will lead to false accusations. you are predisposed to believing women are lying. #rapeculture
822186870679293952,what we can learn fr 1980s #prochoice organizers who fought to protect #reprorights under reagan https://t.co/yutozqcxvu #jointheresistance
822499433107439616,we are going to keep fighting for women and families. we will always fight for #reprorights. and we #wontbackdown. @realdonaldtrump
822519059639988224,"when #reprorights are under attack, we stand up &amp; fight back. take action to fight beside us during the trump years: https://t.co/riorfdnaee"
823618816315944960,"44 years of roe, yet some still lack access. support safe, affordable #abortionaccess for all. #faith4roe #reprorights #beboldendhyde"
824112774640865280,"our body. our choice. 
let's flood congress with phone calls now! #womenhealth #womensrights #womensfight #reprorights #womensmarch https://t.co/dgfohjubas"
824422610712875011,#thankyoutrump for your famouse quote below #thankstotrump now anyone with fame is allowed to walk by and grab my 🐱#resist #rapeculture rt https://t.co/lfbcyndabf
824702447314735104,"house votes to pass #hr7, an #antichoice bill that harms low-income women. unacceptable! https://t.co/drhwepfscs @cosmopolitan #reprorights"
824710186879320064,"people who think there's ""no such thing"" as #rapeculture are usually falling for one of these myths. https://t.co/u1ksikzfob #sexualassault"
824972547691249664,"and some people still deny a #rapeculture exists. 

https://t.co/lrzmtgoura"
825039619012059141,"notations!

red: not millions
yellow: not in 400+ locations across the country

#reprorights #womensmarch #marchforlife https://t.co/gmzo8o2gbi"
825078681831763969,abortion &amp; contraception = health care.  restrictions on #reprorights will take us back to back alleys &amp; unsafe care. #marchoflies
826076392987176960,the bills we're fighting &amp; face year after year in #nh are part of a pattern to erode #reprorights says devon chaffee @aclu_nh #nhpolitics
826095981007613952,here's where trump’s #scotus picks stand on #reprorights. spoiler alert: they're all pretty terrible. https://t.co/7lwiqs1kve @jennyalyse
826130574343598082,get ready for a fight - all of trump's potential supreme court picks would be dangerous for #reprorights. https://t.co/nljapwa11v
826160892316368898,waiting to speak with our ny state senators on the importance of the ccca and #reprorights! #istandwithpp #ny4reprohealth https://t.co/4ny8fsispx
826199853009080320,reminder: this wed. we will hold a tele-town hall discussion about #reprorights. don't miss out! https://t.co/i5xdcttdxd #twill
833499544876785665,3/ and these are all furthered by a larger #rapeculture and patriarchy that had many years in law making women the property of men
833807831195283456,norway pledges $10 million to counter trump's global anti-abortion move #reprorights #theresistance  https://t.co/wn1iuvp6dh
834883379397079041,"#rapeculture starts in elementary school. ""boys will be boys"" is not an excuse for violence. https://t.co/egyldpyc1z #everydaysexism"
835256821652705280,"things women are not like, an incomplete list:
1) a plate of red meat
2) an unlocked car
3) a parent being nagged for ice cream
#rapeculture"
835293251074686976,"#reprorights - ""i want to protect these men from themselves.""
hb 396, which would require at least two doctor’s... https://t.co/bkalxyxrt9"
835610825905811456,trump is far from the 1st elected official to make shameful &amp; repulsive statements about women &amp; #reprorights: https://t.co/mb4dzeyoel
835941731912732672,"12 year old girls should be taught to tolerate the sight of a grown man's penis. 
#paedophilia #rapeculture https://t.co/dncwttj4wu"
836304913558745088,an unfortunate example of what happens when lawmakers don't base their policy on science https://t.co/lkc1jnfdxq #reprorights
836405777564749826,this #tweet by #neilgaiman about my article still makes me #happy. totally worth getting kicked out of my band for. #journalism #rapeculture https://t.co/3z3mcmt6ca
836593893693095936,"over 300 world leaders are opposing #globalgagrule. thank you for supporting the #reprorights of women
everywhere. https://t.co/vxeoofap2j https://t.co/ass2qj60hl"
836649757837680640,"#read: “land of the raped, home of the rapists” by @sonofbaldwin https://t.co/dizcvooixm #racism #rapeculture #ableism"
836687622147825664,"#womenwearwhite to honor american woman suffragists at #jointsession as a pledge to fight for #equalpay, #reprorights, etc. | #sheshouldrun https://t.co/0ieqzw51rk"
836742961643802624,.@jamilsmith nails how toxic masculinity feeds rape culture: https://t.co/rlcerrtrse #vaw #rapeculture
836770138250674178,"you'll #standwithpp if you actually care about access to health care, @realdonaldtrump. @ppact #reprorights #jointaddress https://t.co/6utdvv8spw"
842495705168207874,"#reprorights - ""at the end of the day, escorting at a clinic can be really freaking hard, but it’s worth it. - if... https://t.co/howntxkto9"
842525902198231041,"#reprorights - ""tx state rep. farrar cribbed the entire bill—titled the “man’s right to know act”—from similar... https://t.co/nl6e5vhr6l"
843010952542920706,@pattyarquette this article is classic #victimblaming #rapeculture 101
844271434532741120,"speaking of men who pretend they're feminists to exploit &amp; abuse women: this dude is ""very sorry."" #rapeculture https://t.co/mmtkyvkjgf"
844400742186303488,@actualepafacts can you put this back up on your wall?  it shows who you really are. #rapeculture #rockvillerape #hackedtvshows https://t.co/bd69vpwxzt
844609677170294786,judge gorsuch has consistently ruled against #reprorights. learn more about his record on women: https://t.co/kd8djktrou #weobject https://t.co/lozfm1wtz3
844805401237348352,15yrs old and this girl will carry that with her a lifetime. 💔 40 ppl watching do nothing. profoundly sick world we live in. #rapeculture https://t.co/fxlkfrthyw
844846858807664640,how do you call out #rapeculture in your everyday life? #everydaygenderactivist #humanrightstweets (giphy) https://t.co/sx9jh0o0uo
845279162373984257,as a @kellenberg alumna and a decent human being i am completely disgusted by the institute's perpetuation of #rapeculture
845290707791286272,"a table full of men deciding women's health?? and now trump wants a lifetime seat for a nominee hostile to #reprorights. oh yea, #weobject! https://t.co/p2il7my4mc"
845396792426553346,when politicians actively block #reprorights in public policy a relentless push 4 change is the only language they understand #repealthe8th https://t.co/lnufio09na
845694524869480448,".@justintrudeau, feminist hero, pledges $650m to fight against anti-abortion laws: https://t.co/njyhwocujl #bebold #reprorights https://t.co/2y5ufnbo7x"
846057075084013571,why you need to stop reframing rape survivors' stories https://t.co/3zd5knqmot by @rachelintheoc #rapeculture https://t.co/3zd5knqmot
846406467653545985,how junk science is leading to harmful reproductive health policy in utah https://t.co/ooxc19yxh6 #reprorights
847052879793917954,"#misogyny #rapeculture exhibit a: 

man cleared of sexually assaulting underage girl 'because he didn't enjoy it' https://t.co/ex0mrmtzd2"
847101049567674368,anti-choice activists responsible for bogus planned parenthood tapes face 15 felony charges https://t.co/fspx7fqmiz #reprorights #pinkout
847177222830133248,so grateful to have the fiercest congresswoman @rosadelauro fighting to protect #aca #reprorights @ppfa @ppsne #istandwithpp #pinkout https://t.co/rxtnbp7wdl
847293627491508225,america must always defend women’s #reprorights &amp; the millions who'd be left without care if @ppact is defunded. rt to #standwithpp #pinkout https://t.co/giyax42pfw
847523837092794369,good news: belén will walk free! read more about her story on our @medium: https://t.co/ubyrq4pxib #women #reprorights #takeaction
847971503840739328,"@byu, how about you put up signs that say ""don't attack people""? #rapeculture https://t.co/szaylhvqfm"
848205824031956992,engineering cheers #rapeculture  @sacha_tweets
848224154881052672,sexual violence is interconnected. #rapeculture https://t.co/4opdzhhsok
848231938053767168,"@vp @potus too bad you are against workers, #lgbt #women #equalpay #reprorights"
848944438550433792,this is what it looks like when lawmakers prioritize their religious beliefs above all else https://t.co/asjspozrjq #reprorights #sf471
854085145887944704,"#broadchurch was not just an epic piece of art, but vital commentary on dangers of female objectification, toxic masculinity &amp; #rapeculture"
855372097048195072,justice that isn't intersectional isn't justice at all. #reprorights #theresistance
855415027691552772,"w/o reproductive rights to our own bodies, women cannot have economic freedom &amp; equality. please support #reprorights @sensanders @tomperez https://t.co/yz6lmxszng"
855436461516230660,hold perps accountable for their actions: do not let them make excuses or blame the victim for their behavior. end #rapeculture. #saam
855714878908190720,"we need repeal, not replacement; we need #reprorights out of the constitution wholly #citizensassembly"
855750258500001792,great to see the #citizensassembly being more sensible than our government 🙆 #repealthe8th #abortionrights https://t.co/spsix0lq5n
855928959489503233,here's why the war on science is also a war on #reprorights. https://t.co/hsgrfxwmjb #marchforscience https://t.co/d5uzxosish
855935509981536257,"for #sexualassaultawarenessmonth, let's rethink what we teach kids about #consent. https://t.co/o4ss4ktzq2 #rapeculture"
856236957483118592,"tough, fierce words: “blundering men”…”sanctimonious zealots” bring suffering&amp;death: https://t.co/tby442eofq  #reprorights ths @nickkristof"
856764793444855808,"#reprorights are, &amp; must be at center eco empowerment 4 all #women, #disabled women too  worldwide. #notwithoutrepro #w20 #w20germany"
856879224208195585,"#reprorights are, and should be, at the center of economic empowerment for women and girls around the world. #notwithoutrepro"
857261998127665153,powerful letter led by @senblumenthal &amp; @senatorshaheen urging @nikkihaley to stop us assault on #reprorights https://t.co/uhhlqmnawd https://t.co/73ky6ukfbk
857393903703609344,"#wth surprising, no! #idiot #whiteprivilege
promoting #rapeculture in #america treat women
as property not people! #rape #sexualassault https://t.co/lzba7g0d9j"
857604474743001088,fantastic blog by @projshiloh co-director johanna stiebert on #bible and #rapeculture. essential reading &amp; urgent work. https://t.co/mf6s55q1sp
857660279014006788,"""this is the floor, not the ceiling of what we want"" fascinating insights into the fight for #abortionrights in #honduras from @regifonseca https://t.co/noojj5znlj"
857899662082277377,this week we spoke to @wepbarnet branch meeting w @bpas1968 about #abortionrights in uk &amp; ire.great to meet @wepharingey &amp; @wepgreenwich too https://t.co/awbouu1a82
857994937610248192,this is unacceptable: nypd sergeant who raped 13-year-old girl gets 3 years in prison https://t.co/dgksjb9whm #rapeculture #childabuse
862580987795972096,women of nsw i'm sorry rights to your own body are still criminalised and it was old white men who made the decision #abortionrights #auspol
862941309971181568,"#srhrdialogues; sexual violence is due to #rapeculture &amp; misogyny, recognizing patriarchal manifestations..#endvaw https://t.co/hhvwvdkrl1"
864903596491636737,"rep fisher resigned, the @nhgop ready to give him a free pass. #rapeculture ty @acttogetheruv @ultraviolet @progressnh @nhcadsv #nhpolitcs https://t.co/cz9mdilq3c"
864941148921626624,"the story of this woman's self-induced #abortion &amp; death is so relevant in this #trump era.
https://t.co/njso4lmxbg
#reprorights #healthcare"
865207048929243137,"america may love #rapeculture, but the #universe don't: https://t.co/csf97tb5x9 #rogerailes"
865209584885125121,"here's some tips on rape prevention - maybe you should read and take note ched evans. #chedevans
#rapeculture
#rape
#endviolenceagainstwomen https://t.co/uiewoko1zn"
865226813194240002,"here are 3 things you can do - right now - to keep the pressure on @govrauner to sign #hb40
https://t.co/kpn3t5zain #twill #reprorights https://t.co/uhstmwsw7d"
865931648864538624,this is why we must elect a strong #reprorights gov in november! glad for 2 candidates committed to pp funding. @tomperriello @ralphnortham https://t.co/j85udghlah
866128043823120384,#rapeculture summed up. https://t.co/bjrnl1jsep
867148590321471490,"now more than ever, new york needs to be a leader on #reprorights. sign the petition: https://t.co/6iriueosj7 #reprohealthny https://t.co/m3bi6b3hko"
867364432262955008,need $673. to hit goal #vagicalmysterytour in #atl 6/2 @lpjldoc @ladypjustice @kartemquin @seedandspark #reprorights https://t.co/hmdjimtmhd
868428395725463552,a dad laughing about his boy toddler looking up random women's skirts. his wife and her friends think it's funny. is this #rapeculture?
