Stance,Tweet
0,"we can make this year and just about anything great by standing together! divided, it's tough to do much at all but fall or fail."
0,Just been having rather horrible discussion with @Tim_Hallan - reminder that we have a long way to go.
-1,@zakzales @hillaryclinton omg! she and all other babies are beautiful!!! thank you lord for life!
-1,@newtowndoc thx for the follow! thank you for your holy work! @rabbisagstgunv stand with you to save lives!
1,we fixed the misleading @idc4ny mailer that claims idc members helped pass key legislation to advance .
1,RT @PinkGypsySoul: The single most important factor for women's advancement in society is our ability to control our fertility.
1,"I know what's best, for my health. You don't know anything about me."
0,"o most sacred heart of jesus, dwell in our hearts. may husbands &amp; wives love each other."
-1,@TheReadClub He who wears the shoes knows where it hurts but I'm Pro-life.
0,.@thereval weighs in on @senatemajldr mitch mcconnell decrying dems vowing to block #scotus picks @politicsnation
0,The Supreme Court justices are on fire this week
0,icymi: #scotus made several major announcements impacting countless #lgbtq people
-1,"""choose life."""
-1,"we were #blessed to adopt this little guy through foster care. i have a son, he is everything to me."
0,@noellenikpour i really don't care much about #100days. i am looking forward to 8 years of @potus to maga. now we need another #scotus appt.
-1,When you bring up the 50 million black babies aborted in the past 30 years people get offended...
0,happy new year. have a fabulous 2017 - we'll keep campaigning till
0,@SenatorLankford just a reminder that you are awful in every way and do not represent me.
-1,i cannot put into words how phenomenal @trainspotlive was! i'd gladly go back tomorrow to experience it all over again!
0,"Yo if you decide to set yourself on fire cause gays are allowed to be married, that is 100% your choice and I am in support of it"
-1,just doing ma thang #prolifegen #prolife #prowoman #fridayfeeling #ilovemyjob @lifecharity
0,#liverpoolpride2017 love has reached west kirby!
1,My teacher today basically said that embroyo's are nothing but skin + blood & that abortion was fine.
-1,every life is full of endless possibilities.
0,our dude @bradaustin 1st radio station to add #lovewins w/ @stormewarren n @sxmthehighway
1,God forbid you'd ever have to walk a mile in her shoes. Then you really might know what it's like to have to choose.
0,"cmn board member @brianstolarz tells his story at #scotus of helping free #deathpenalty exoneree #154, dewayne brown, from ."
-1,"RT @ORConservative: @POTUS @Pontifex Everybody but the unborn, right?"
0,#scotus link of the day: @stevenmazie reviews upcoming case re private parties denying services to same-sex couples
0,"is a grandparent not a ""person""? #scotus said no ban on anyone who has “a bona fide relationship"" w/ ""a person...in"" the united states"
-1,"you have to live with that murder I am speechless with rage , hurt and complete disgust.Finding it V.hard to hold my tongue here"
1,"hey, price, we could bring you binders full of women! take action:"
-1,the march is over. now what?
0,and relax....we want to thank everybody for the immense support and outpouring of love today at our first pride event!
-1,"it's official, it's happening, i'm stoked."
-1,"@animalpenpals @animalequality uuuugh. so sad, so vile. and people call us crazy because we want no part of it. life"
-1,love the start of tonight's #itv4 intro with a @jm130tt voice over! very clever &amp; v.poignant
0,So happy that America is making it possible for ALL of its people to be married to the ones they love!
0,#scotus denies review in tx voter id case
-1,glad i was able to join in the #marchforlife in #arkansas today.
0,"#scotus goes big, not home, granting 16 new cases (for total of 13 hours of argument) today."
0,i found myself very emotional at #londoneuston #train #station today …
0, ‍‍ ‍‍ ‍ happy pride everyone! ‍ ‍‍ ‍‍ +
0,"looks like my wapo piece on #scotus telling voters they can wait for relief made it to ground zero, @newsobserver"
0,sometimes it's hard watching folks tweet about #scotus /law in a purely academic way when so many see their equality hanging in the balance.
0,"eventually, this is all going to #scotus, and i remain optimistic kennedy will side with the liberals in giving sec 3 some teeth"
0,first gay #muslim wedding takes place in the uk
-1,"Damn, interesting news when you find out you were almost a product of abortion"
-1,just a few photos from our 2017 #marchforlife trip! we are the #prolifegen &lt;3
0,rt if you agree with justice gorsuch on the role of the supreme court!
1,"judges need mandatory sexual assault training, mpp says via @torontostar"
0,"(3/3) So when @AUL tells you MLK was #prolife, they're lying. (Their gullible followers r likely just misinformed)."
-1,Gay Marriage & Murdering the Unborn will always be a SIN in GODS eyes. .
0,one requires the australian constitution to be changed (#republic) the other is an act of law (#marriage equality)
0,meanwhile in america...
-1,A prochoice advocate but circumcise ur baby? Fucking hypocrite!
-1,"it is disappointing that the government can pick and choose it's social agenda. yet as citizens we are forced to""agree with all"""
-1,"...and said unto them, Suffer the little children to come unto me, & forbid them not: for of such is the kingdom of God. Mk 10:14"
0,marriage is about the coming together of two people &amp; two families
-1,why #women should tell their #obgyn if they have had an #abortion @lifenewshq @daveha
-1,see how oregonians want to spend $1.7 million to help pregnant women in need: - -
0,a response has been filed in #scotus emerg req. to halt 2017 special elections; keep an eye on @ncpolicywatch's blog for story
0,"good nuts &amp; bolts #scotus brief style guide from dan schweitzer of @natlassnattysgn, who has seen a brief or two."
0,.@senschumer's view of his constitutional responsibility changes with every elected president.
-1,trainspotting
0,You know what's best You know what's best for your well being You know what's best for your life...
-1,Where's the most dangerous place for a child? In the hands of an ISIS terrorist? Almost. Inside their mother's womb
