id,Tweet,Stance
815373939438403585,Celebrating the life. Not mourning the death.,-1
815609056383467520,mt @testisfidelis: women are not ragdolls. they can practice selfmastery.,-1
815650201792839680,check out some #prolife news in #2017 from #theroamincatholic @beatidude,-1
815740678193942528,what being a mother has taught me about abortion:,-1
817165470902185985,gop to #defundplannedparenthood in #obamacare repeal,-1
817221738706542592,yes please.,-1
817377761044103168,.@speakerryan is living that thug life. we will !,-1
817812664818679808,"abortion ends one life, and forever adversely alters another.",-1
819540634319122432,"#mylifematters i'm a special gift from god, love me mommy.",-1
822913352892645376,"pam tebow #chooselife. her story continues to inspire many, ""mrs. tebow, i did not abort my baby because you did not abort yours.""",-1
822932133639491584,"of all the faces, voices&amp;images shown in the streets of dc today the one missing in the name of ""choice"" is this one.",-1
824315319699116032,mt @marylene58: so beautiful and angelic. please .,-1
824638594379902977,".@embracegraceinc:"" we are here all life, not just pro-birth.""",-1
824952555067285505,win this war_revoke license to kill!,-1
824972407341461504,mass has started!! youth rally and mass for life is getting started!,-1
824994838030458889,"hi @windywilson88 we love your #t2trainspotting chat, its a #chooselife #chooselunch day in @dollarsdeli",-1
825024156693516289,our voice is getting stronger!,-1
825031188020539392,life is winning because of all of you! @mike_pence,-1
825476834213105664,just seen #trainspotting2 it was just superb on so many levels &amp; a beautiful follow up to one of my all time favourite films...,-1
825487222543626243,texans stand for the protection of life! let ours will be the generation to end abortion forever #txrallyforlife @texasgop,-1
825736355263180800,miracle baby.,-1
826287404243787776,mt @awakedeborah: fearfully and wonderfully made! by god.,-1
826890954359595008,"if @t2trainspotting changed your life, this review of it written by @matthew5thomas will change it even further.",-1
827504688723611648,where is the democrats permanent outrage over innocent children being ripped apart by abortion?,-1
829086397151715335,#prolife senators introduce bill to #defundplannedparenthood #abortion biz @lifenewshq,-1
833649980434968576,"... getting by, looking ahead, to the day you die...",-1
834116879069360129," roe v. wade attorney sarah weddington’s shocking answer when asked, “whatever happened to roe?”",-1
834233364370554884,"also, shouldn't the #prolifegen want to increase the amount of birth control and thus decreasing unwanted pregnancies and abortions? (3/3)",-1
834501783569457158,wonderful convo over lunch w/ @savethestorks staff! they're doing really creative work for the sake of mothers &amp; babies.,-1
834785344935567360,choose life.,-1
835282558199832576,@thehill @denisebronsdon @jennabushhager wow..i'm surprised. i thought better of her.,-1
836021510749966336,showed up to wings maternity home to find the whole crew sporting our t-shirts! themboth,-1
836563134898917376,"current view. no filter, no caption required. onward! gx",-1
836695704244453377,over a dozen young #prolifers stayed for a chat and a pint after an incredibly biased session to talk about what the #prolifegen can do!!,-1
836981080444047361,we are outside the omni hotel in ft. worth today protesting barbara bush at @ppact's overpriced lunch,-1
837007732213342208,mt @patrioticgirl86: the greatest destroyer of love and peace is abortion.,-1
837027717954428928,"mt @amenditusa: new mood,new plan. let america decide!",-1
837091756005081088,mt @karee_news: you can do something try to touch hardened hearts and,-1
837092396353667072,"mt @amenditusa: new mood,new plan. let america decide!",-1
837093085322452992,mt @awakedeborah: fearfully and wonderfully made! by god.,-1
837288374092382213,barbara bush spoke at a planned parenthood benefit and we went too,-1
838834515380482048,this went viral.,-1
842415089361817600,no to trump and no to this hangover,-1
844315936651923457,happy birthday @gregesplin! no doubt melbourne will show you a f'ing great time.,-1
845360229869125632,thank you @personhoodedny for having us at the bringing america back to life ny convention,-1
845608603532886016,"when the most exciting moments in your life is going to the supermarket to buy hummus, you definitely need some changes...",-1
846765223893766144,thank you @students4lifehq for your help with our table this morning! we had so much fun at your 10 year anniversary last week!,-1
