id,Tweet,Stance
815385155464359936,#foxnews2017 Sick and tired of the #LiberalHypocrisy when those who protest loudest against #RapeCulture also scream loudest to accept it!,1
817444924878684160,also holy ish this is horrible.,1
819603188445749250,"as a dr &amp; gov, i will stand up to @realdonaldtrump &amp; gop from throwing thousands of virginians off their healthcare &amp; restrict",1
820058930394976256,republicans are attempting to pass a total abortion ban. we must take a stand against attacks on #reprorights now.,1
821406716369637376,what do #reprorights look like in your state? check out the new @naral report and find out!,1
821425576032538624,very telling that you assume #saytheirnames will lead to false accusations. you are predisposed to believing women are lying.,1
822186870679293952,what we can learn fr 1980s #prochoice organizers who fought to protect #reprorights under reagan,1
822499433107439616,we are going to keep fighting for women and families. we will always fight for #reprorights. and we #wontbackdown. @realdonaldtrump,1
822519059639988224,"when #reprorights are under attack, we stand up &amp; fight back. take action to fight beside us during the trump years:",1
823618816315944960,"44 years of roe, yet some still lack access. support safe, affordable #abortionaccess for all.",1
824112774640865280,our body. our choice. let's flood congress with phone calls now!,1
824422610712875011,#thankyoutrump for your famouse quote below #thankstotrump now anyone with fame is allowed to walk by and grab my #resist #rapeculture rt,1
824702447314735104,"house votes to pass #hr7, an #antichoice bill that harms low-income women. unacceptable! @cosmopolitan",1
824710186879320064,"people who think there's ""no such thing"" as #rapeculture are usually falling for one of these myths.",1
824972547691249664,and some people still deny a #rapeculture exists.,1
825039619012059141,notations! red: not millions yellow: not in 400+ locations across the country,1
825078681831763969,abortion &amp; contraception = health care. restrictions on #reprorights will take us back to back alleys &amp; unsafe care.,1
826076392987176960,the bills we're fighting &amp; face year after year in #nh are part of a pattern to erode #reprorights says devon chaffee @aclu_nh,1
826095981007613952,here's where trump’s #scotus picks stand on #reprorights. spoiler alert: they're all pretty terrible. @jennyalyse,1
826130574343598082,get ready for a fight - all of trump's potential supreme court picks would be dangerous for .,1
826160892316368898,waiting to speak with our ny state senators on the importance of the ccca and !,1
826199853009080320,reminder: this wed. we will hold a tele-town hall discussion about #reprorights. don't miss out!,1
833499544876785665,3/ and these are all furthered by a larger #rapeculture and patriarchy that had many years in law making women the property of men,1
833807831195283456,norway pledges $10 million to counter trump's global anti-abortion move,1
834883379397079041,"#rapeculture starts in elementary school. ""boys will be boys"" is not an excuse for violence.",1
835256821652705280,"things women are not like, an incomplete list: 1) a plate of red meat 2) an unlocked car 3) a parent being nagged for ice cream",1
835293251074686976,"#reprorights - ""i want to protect these men from themselves."" hb 396, which would require at least two doctor’s...",1
835610825905811456,trump is far from the 1st elected official to make shameful &amp; repulsive statements about women &amp; :,1
835941731912732672,12 year old girls should be taught to tolerate the sight of a grown man's penis.,1
836304913558745088,an unfortunate example of what happens when lawmakers don't base their policy on science,1
836405777564749826,this #tweet by #neilgaiman about my article still makes me #happy. totally worth getting kicked out of my band for.,1
836593893693095936,over 300 world leaders are opposing #globalgagrule. thank you for supporting the #reprorights of women everywhere.,1
836649757837680640,"#read: “land of the raped, home of the rapists” by @sonofbaldwin",1
836687622147825664,"#womenwearwhite to honor american woman suffragists at #jointsession as a pledge to fight for #equalpay, #reprorights, etc. |",1
836742961643802624,.@jamilsmith nails how toxic masculinity feeds rape culture:,1
836770138250674178,"you'll #standwithpp if you actually care about access to health care, @realdonaldtrump. @ppact",1
842495705168207874,"#reprorights - ""at the end of the day, escorting at a clinic can be really freaking hard, but it’s worth it. - if...",1
842525902198231041,"#reprorights - ""tx state rep. farrar cribbed the entire bill—titled the “man’s right to know act”—from similar...",1
843010952542920706,@pattyarquette this article is classic #victimblaming #rapeculture 101,1
844271434532741120,"speaking of men who pretend they're feminists to exploit &amp; abuse women: this dude is ""very sorry.""",1
