id,Tweet,Stance
1162156466121379842,"USER Yo viví una situación similar, él embarazó a la novia y pensaban lo mismo incluso sus padres estaban de acuerdo, hoy su hijo es todo un joven que le da muchas satisfacciones. #NoAlAborto",C
1162178183795531776,"USER USER USER #noalaborto #salvemoslas2vidas #conabortonotevoto propone asesinarlos por ser pobres o no ser amados, que sigue? asesinarlos porque te caen mal. quién se cree usted para decidir que ser humano puede o no vivir? URL",C
1162244643276242944,¡qué horror! no dejes que te deshumanicen con mentiras. así lucha el bebé contra la muerte. no votes partidos abortistas. #conabortonotevoto #stopabortion #noalaborto #salvemoslas2vidas URL,C
1162270681028935683,oremos! por nuestros hermanos argentinos. USER USER USER USER USER USER #noalaborto #noalaideologiadegenero URL,C
1162348375901114368,el #aborto termina con una vida humana inocente en todas las etapas #noalaborto URL,C
1162367342023782400,"USER USER USER a ver si entiendo: si te hubieran abortado al nacer, qué hubiera sido de ti? un no ser humano. pero te dejaron vivir, y naciste porque no se interrumpió tu ciclo natural. el feto es, entonces, una etapa natural de la vida y por tanto hay que protegerlo. #noalaborto",C
1162428104280858624,creo que esta película abrirá los ojos de mucha gente que actualmente está confundida respecto al neurálgico tema del aborto. #sialavida #noalaborto #inesperadord #veloqueellavio URL,C
1163158086250565636,yo soy #provida todos tenemos derecho a vivir.... #noalaborto URL,C
1164281834412396546,"por la plata baila el mono. el aborto es un negocio, y este ya es parte del mismo. cuántos dolares cobra por hacer la propaganda abortera? #abortoesnegocio #abortoesasesinato #noalaborto URL",C
1165779937384685573,"sigan insistiendo con que no tiene vida, aborteros hijos de puta. #noalaborto #sialavida #salvemoslas2vidas #cuidemoslasdosvidas #nadiemenos #argentinaesprovida URL",C
1166826823797198848,"#frasesquenosoportoescuchar ‘mi cuerpo, mi decisión’ #noalaborto URL",C
1167176814306975744,"#felizdiadelabogado queremos aprovechar para recordales que nuestro equipo de abogados, sigue sumando voluntarios. #salvemostodaslasvidas #nofueley #noalaborto #sialavida #salvemoslas2vidas ¡siempre!💙 URL",C
1167266626183606272,"""méxico, si quieres tener futuro, dí #sialavida y da un rotundo #noalaborto. santa maría de guadalupe, reina de méxico, salva nuestra patria y conserva nuestra fé"". #méxicoesprovida #salvemoslas2vidas URL",C
1167396780889296896,hoy mi bb cumpliría 2 a. mattia creció en mi vientre con #trisomia13 (incptbl con la vida)lo supe de un propio mi bendición haberlo tenido los 7 días de su vida en mi pecho y escuchar hasta su último latido #noalaborto USER USER USER USER,C
1167953278388203521,"hermosa noticia‼️ que merece ser compartida. mientras algunos nos quieren convencer que sólo son un ""conjunto de células"", otros dedican su vida a salvarlas👏🏻👏🏻👏🏻👏🏻👏🏻 #sialavida ✔️ #noalaborto ❌ URL",C
1168032556693868547,"aquí, la réplica de un humano de 12 semanas de vida. la edad en que es legalmente asesinado por aborto en méxico. y dicen que la mujer tiene el derecho de matarlo porque es ""un montón de células"". #noalaborto URL",C
1168156174207860736,"desde la capital de chile hoy 31.08.2019, los padres se movilizan para decir basta ya de onu, de aborto; de privilegios a las minorias sexuales y de ataques contra los valores, la familia y la infancia... #noalaborto #salvemoslas2vidas #chileenmarcha #chilesoberanosinonu URL",C
1168207712104210433,¡no le temas a la vida! #culturadevida #cadavidaimporta #salvemoslas2vidas #sialavida #noalaborto #salvemosalinocente #laolaceleste #maternidad #latinoamericaporlas2vidas #provida #elsalvador #elsalvadororgullosamenteprovida #chooselife #vida #proudtobeprolife #sivar #sansalvador URL,C
1168249743367122945,felicitaciones a los hermanos chilenos que ayer salieron a las calles a luchar por la vida y la familia natural #bastaya #sialavida #noalaborto #chile #conmishijosnotemetas USER USER USER USER USER USER URL,C
1168494719040708608,USER USER confiemos esos jóvenes tengan claridad que si están ahí es por un país que alto y fuerte dice. #noalaborto #sialas2vidas #sialavida #salvemoslasdosvidas,C
1168943026166738945,seamos la voz de los q no la tienen #noalaborto URL,C
1169376866773458944,"¿aborto seguro? el aborto seguro no existe, más alla de la realidad que nos quieren pintar, estas son las consecuencias reales. dichas consecuencias no son solo físicas, sino también psicológicas, y afectan al individuo en todas sus dimensiones. #noalaborto #salvemoslasdosvidas URL",C
1173976161598234628,"""no seamos parte de la generaciÓn que se destruye a sÍ misma"" ¡hagamos la diferencia, ecuador! USER #noalaborto #noalabortoenecuador #generacionprovida #coiplegalizaelaborto #médicosalvanomata #cristianosunidosporlavida #hazladiferencia USER USER URL",C
1174150830460719105,"y así terminaron furiosas femilocas y sus aliados, #ganolavida #noalaborto #ecuadoresprovida USER USER USER USER USER USER USER USER USER URL",C
1174440608871718916,lamentable que los legisladores proaborto de #morena busquen la muerte de bebés! no lo vamos a permitir! #noalaborto #salvemoslas2vidas #soyprovida URL,C
1174873917925789696,"nunca en sus putas vidas voy a apoyar esto, muéranse antes de pretender no respetar el cuerpo de un bebé, y exigir que respetemos la decisión de que pueden hacer lo que quieran con ""su cuerpo"" si van a coger háganlo responsablemente!!! así de fÁcil #noalaborto #mexico URL",C
1176624352072261632,"médicos como leandro rodriguez lastra USER honran la vida y su profesión médica. toda la gente de bien, la que no desprecia la vida de nadie, estamos con vos leandro!#salvarvidasnoesdelito #justiciapararodriguezlastra #rescatemosargentina #justicia #nofueley #noalaborto URL",C
1176868292025344000,"den a las mujeres opciones, soluciones reales, verdadera ayuda. #noalaborto #oaxacaesprovida",C
1176891589031092224,no queremos el asesinato de bebÉs en mÉxico. no sean asesinos! #noalaborto #sialavida #salvemoslas2vidas USER USER USER USER USER USER USER USER USER USER USER,C
